mz,composition
3285.1677,Gc_35+Fucx3
3431.2256,Gc_35+Fucx4
2926.9508,Gc_35+S
3006.9076,Gc_35+Sx2
2976.0366,Gc_36
3122.0945,Gc_36+Fuc
3268.1524,Gc_36+Fucx2
3414.2103,Gc_36+Fucx3
3560.2682,Gc_36+Fucx4
3055.9934,Gc_36+S
3135.9502,Gc_36+Sx2
2917.9948,Gc_37
2997.9516,Gc_37+S
3077.9084,Gc_37+Sx2
3064.0527,Gc_38
3210.1106,Gc_38+Fuc
3356.1685,Gc_38+Fucx2
3502.2264,Gc_38+Fucx3
3144.0095,Gc_38+S
3223.9663,Gc_38+Sx2
3283.1269,Gc_39
3429.1848,Gc_39+Fuc
3575.2427,Gc_39+Fucx2
3721.3006,Gc_39+Fucx3
3867.3585,Gc_39+Fucx4
3363.0837,Gc_39+S
3443.0405,Gc_39+Sx2
2116.7296,Gc_4
2262.7875,Gc_4+Fuc
2408.8454,Gc_4+Fucx2
2196.6864,Gc_4+S
2276.6432,Gc_4+Sx2
3429.1849,Gc_40
3575.2428,Gc_40+Fuc
3721.3007,Gc_40+Fucx2
3867.3586,Gc_40+Fucx3
4013.4165,Gc_40+Fucx4
3509.1417,Gc_40+S
3589.0985,Gc_40+Sx2
2845.9736,Gc_41
2925.9304,Gc_41+S
3005.8872,Gc_41+Sx2
2992.0315,Gc_42
3138.0894,Gc_42+Fuc
3284.1473,Gc_42+Fucx2
3430.2052,Gc_42+Fucx3
3576.2631,Gc_42+Fucx4
3071.9883,Gc_42+S
3151.9451,Gc_42+Sx2
2949.9846,Gc_43
3029.9414,Gc_43+S
3109.8982,Gc_43+Sx2
3096.0425,Gc_44
3242.1004,Gc_44+Fuc
3388.1583,Gc_44+Fucx2
3534.2162,Gc_44+Fucx3
3175.9993,Gc_44+S
3255.9561,Gc_44+Sx2
2933.9897,Gc_45
3013.9465,Gc_45+S
3093.9033,Gc_45+Sx2
3080.0476,Gc_46
3226.1055,Gc_46+Fuc
3372.1634,Gc_46+Fucx2
3518.2213,Gc_46+Fucx3
3160.0044,Gc_46+S
3239.9612,Gc_46+Sx2
3138.0894,Gc_47
3284.1473,Gc_47+Fuc
3430.2052,Gc_47+Fucx2
3576.2631,Gc_47+Fucx3
3722.321,Gc_47+Fucx4
3218.0462,Gc_47+S
3298.003,Gc_47+Sx2
3008.0264,Gc_48
3087.9832,Gc_48+S
3167.94,Gc_48+Sx2
3154.0844,Gc_49
3300.1423,Gc_49+Fuc
3446.2002,Gc_49+Fucx2
3592.2581,Gc_49+Fucx3
3738.316,Gc_49+Fucx4
3234.0412,Gc_49+S
3313.998,Gc_49+Sx2
1929.6452,Gc_5
2009.602,Gc_5+S
2089.5588,Gc_5+Sx2
3121.0741,Gc_50
3201.0309,Gc_50+S
3280.9877,Gc_50+Sx2
3267.132,Gc_51
3413.1899,Gc_51+Fuc
3559.2478,Gc_51+Fucx2
3705.3057,Gc_51+Fucx3
3851.3636,Gc_51+Fucx4
3347.0888,Gc_51+S
